iteration,time_ms
1,118.246
2,118.255
3,118.158
4,118.509
5,118.306
6,118.085
7,118.340
8,118.301
9,118.245
10,118.944
11,118.375
12,118.182
13,118.510
14,118.293
15,118.246
16,118.167
17,118.154
18,118.430
19,118.337
20,118.361
21,118.227
22,118.546
23,118.348
24,118.906
25,118.227
26,118.302
27,118.617
28,118.528
29,118.317
30,118.179
31,118.164
32,118.817
33,118.237
34,118.374
35,119.017
36,120.160
37,118.293
38,118.627
39,118.288
40,118.550
41,118.312
42,118.344
43,118.344
44,118.339
45,118.296
46,118.366
47,118.332
48,118.534
49,118.666
50,118.286
51,118.249
52,118.245
53,118.311
54,118.782
55,119.139
56,118.186
57,118.198
58,119.005
59,118.914
60,118.885
61,118.320
62,118.241
63,119.007
64,118.298
65,118.391
66,118.149
67,118.366
68,118.477
69,118.351
70,118.324
71,118.400
72,118.222
73,118.061
74,118.137
75,119.525
76,119.308
77,118.315
78,118.269
79,118.731
80,118.260
81,118.087
82,118.224
83,118.502
84,118.295
85,118.271
86,118.451
87,118.441
88,118.316
89,118.431
90,118.221
91,118.531
92,118.419
93,118.151
94,118.818
95,118.544
96,118.394
97,118.420
98,118.368
99,118.329
100,118.489
101,118.509
102,118.698
103,118.383
104,118.358
105,118.269
106,118.637
107,118.238
108,118.287
109,118.777
110,118.419
111,118.164
112,118.271
113,118.557
114,118.149
115,118.526
116,118.167
117,118.286
118,118.345
119,118.257
120,118.217
121,118.310
122,118.315
123,118.515
124,118.348
125,118.730
126,118.305
127,118.467
128,118.275
129,164.409
130,118.279
131,118.347
132,118.888
133,118.597
134,118.405
135,119.080
136,118.548
137,118.753
138,119.050
139,118.350
140,118.176
141,118.210
142,118.003
143,118.039
144,118.399
145,118.366
146,118.339
147,118.541
148,118.702
149,118.885
150,118.149
151,118.449
152,119.321
153,118.357
154,118.970
155,118.684
156,117.947
157,118.092
158,118.531
159,118.237
160,118.167
161,118.838
162,118.247
163,119.751
164,118.665
165,120.376
166,119.565
167,118.235
168,119.324
169,119.015
170,118.061
171,118.186
172,118.127
173,118.142
174,118.140
175,118.196
176,118.169
177,119.126
178,118.239
179,118.755
180,118.186
181,119.131
182,120.341
183,118.230
184,118.689
185,118.523
186,119.470
187,118.910
188,118.133
189,119.096
190,119.255
191,118.433
192,118.494
193,117.877
194,119.017
195,118.213
196,119.478
197,118.385
198,118.445
199,118.418
200,118.324
201,118.338
202,118.179
203,118.099
204,118.318
205,118.142
206,118.304
