iteration,time_ms
1,221.262
2,221.238
3,313.456
4,221.161
5,497.142
6,221.765
7,563.806
8,221.273
9,1225.431
10,221.205
11,221.259
12,221.206
13,221.244
14,221.047
15,221.204
16,221.293
17,221.221
18,221.261
19,311.681
20,221.184
21,1223.218
22,221.653
23,221.230
24,1368.781
25,221.590
26,222.150
27,1411.287
28,311.898
29,566.464
30,221.209
31,221.210
32,311.382
33,221.178
34,221.447
35,221.095
36,221.122
37,221.146
38,312.297
39,221.348
40,221.225
41,221.569
42,313.412
43,221.148
44,221.642
45,221.285
46,221.092
47,221.502
48,221.175
49,1277.585
50,221.689
51,311.921
52,221.206
53,221.133
54,311.522
55,221.630
56,221.100
57,311.661
58,564.781
59,221.172
60,1241.959
61,1278.371
62,221.221
63,221.534
64,221.909
65,222.401
66,221.883
67,222.034
68,221.239
69,221.209
70,564.975
71,497.834
72,222.154
73,221.685
74,312.538
75,1236.090
76,499.006
77,221.860
78,221.315
79,221.249
80,1256.478
81,221.328
82,221.131
83,221.491
84,567.982
85,222.213
86,1318.519
87,1243.414
88,221.928
89,221.533
90,221.321
91,221.144
92,312.141
93,221.621
94,221.305
95,911.052
96,221.544
97,221.191
98,221.243
99,221.765
100,221.408
101,221.381
102,221.159
103,221.539
104,221.234
105,221.192
106,496.778
107,493.721
108,221.835
109,221.396
110,312.087
111,221.273
112,221.223
113,222.079
114,221.372
115,221.295
116,221.361
117,222.138
118,222.186
119,221.354
120,1360.549
121,221.234
122,221.271
123,221.376
124,221.129
125,221.841
126,311.554
127,1224.940
128,221.381
129,221.228
130,221.166
131,221.596
132,312.626
133,221.455
134,1251.363
135,221.541
136,221.337
137,221.415
138,221.064
139,221.526
140,562.995
141,221.157
142,221.421
143,222.013
144,221.245
145,221.353
146,221.221
147,311.789
148,221.127
149,221.271
150,221.307
151,221.339
152,221.989
153,221.565
154,1355.481
155,312.096
156,221.099
157,221.364
158,221.401
159,221.334
160,221.283
161,222.498
162,221.101
163,221.385
164,650.946
165,222.159
166,221.339
167,221.520
168,493.517
169,221.166
170,221.315
171,221.306
172,221.142
173,221.325
174,221.304
175,221.115
176,221.359
177,221.199
178,221.300
179,221.281
180,221.373
181,221.420
182,221.353
183,221.302
184,1299.569
185,221.076
186,221.322
187,221.241
188,221.265
189,221.366
190,221.186
191,221.161
192,221.455
193,221.560
194,221.200
195,221.115
196,221.517
197,221.352
198,221.299
199,221.419
200,221.360
201,221.311
202,221.220
203,493.011
204,221.471
205,221.635
206,222.146
207,926.010
208,1298.106
209,221.275
210,221.286
211,221.385
212,221.553
213,221.187
214,222.178
215,222.544
216,221.183
217,221.174
218,221.289
219,221.846
220,221.575
221,221.728
222,221.415
223,221.991
224,221.345
225,222.116
226,222.275
227,222.043
228,1308.187
229,221.397
230,312.698
231,221.543
232,221.362
233,221.481
234,493.130
235,221.321
236,221.321
237,221.418
238,221.682
239,221.409
240,221.280
241,221.314
242,562.836
243,221.308
244,221.384
245,221.391
246,568.979
247,221.264
248,221.180
249,221.355
250,221.100
251,221.196
252,221.319
253,221.255
254,221.341
255,221.332
256,221.539
257,568.522
258,221.272
259,221.420
260,221.341
261,221.367
262,221.254
263,221.743
264,499.801
265,1235.842
266,221.338
267,221.230
268,221.220
269,221.327
270,221.418
271,221.150
272,222.361
273,221.299
274,221.258
275,221.203
276,312.180
277,221.552
278,221.139
279,567.154
280,311.592
