iteration,time_ms
1,7.459
2,7.618
3,7.671
4,7.763
5,7.609
6,7.485
7,7.514
8,7.579
9,7.546
10,7.736
11,7.934
12,7.582
13,7.477
14,7.515
15,7.567
16,7.498
17,7.621
18,7.452
19,7.400
20,7.428
21,7.435
22,7.435
23,7.458
24,7.450
25,7.543
26,7.692
27,7.628
28,7.541
29,7.690
30,7.522
31,7.589
32,7.436
33,7.397
34,7.556
35,7.554
36,7.664
37,7.751
38,7.690
39,7.697
40,7.445
41,7.379
42,7.469
43,7.749
44,7.362
45,7.347
46,7.457
47,7.378
48,7.505
49,7.453
50,7.465
51,7.477
52,7.421
53,7.454
54,7.372
55,7.419
56,7.535
57,7.501
58,7.435
59,7.422
60,7.418
61,7.639
62,7.612
63,7.404
64,7.389
65,7.411
66,7.677
67,7.659
68,7.507
69,7.515
70,7.415
71,7.436
72,7.577
73,7.549
74,7.461
75,7.918
76,7.428
77,7.591
78,7.564
79,7.501
80,7.438
81,7.418
82,7.472
83,7.376
84,7.487
85,7.448
86,7.371
87,7.462
88,7.410
89,7.710
90,7.606
91,7.639
92,7.467
93,7.496
94,7.431
95,7.492
96,7.566
97,7.632
98,7.788
99,7.747
100,7.605
101,7.768
102,7.620
103,7.718
104,7.551
105,7.552
106,7.505
107,7.885
108,7.537
109,7.429
110,7.378
111,7.398
112,7.390
113,7.444
114,7.381
115,7.560
116,7.443
117,7.527
118,7.681
119,7.598
120,7.461
121,7.447
122,7.406
123,7.409
124,7.437
125,7.409
126,7.396
127,7.419
128,7.401
129,7.476
130,7.792
131,7.859
132,7.653
133,7.539
134,8.777
135,7.601
136,7.567
137,7.493
138,7.721
139,7.818
140,7.654
141,7.705
142,7.633
143,7.665
144,9.650
145,7.786
146,7.846
147,7.742
148,7.791
149,8.129
150,8.066
151,8.272
152,8.064
153,7.907
154,7.783
155,7.625
156,7.710
157,7.603
158,7.652
159,7.575
160,7.646
161,7.629
162,7.560
163,7.751
164,7.617
165,7.514
166,7.542
167,7.462
168,7.873
169,7.664
170,7.701
171,8.100
172,7.777
173,7.731
174,7.808
175,7.802
176,7.587
177,7.679
178,7.765
179,7.744
180,7.662
181,7.614
182,7.512
183,7.467
184,7.456
185,7.642
186,7.492
187,7.666
188,7.516
189,7.547
190,8.475
191,7.603
192,7.572
193,7.790
194,7.539
195,7.685
196,7.674
197,7.710
198,7.457
199,7.534
200,7.495
201,7.461
202,7.397
203,7.797
204,7.460
205,7.665
206,7.446
207,7.430
208,7.676
209,7.596
210,7.555
211,7.507
212,7.517
213,7.980
214,7.820
215,7.742
216,7.613
217,7.560
218,7.543
219,7.580
220,7.566
221,7.519
222,7.500
223,7.430
224,7.459
225,7.388
226,7.422
227,7.471
228,7.473
229,7.662
230,7.663
231,7.767
232,7.762
233,7.758
234,7.701
235,8.081
236,7.523
237,7.550
238,7.785
239,7.640
240,7.760
241,7.683
242,7.649
243,7.722
244,7.469
245,7.419
246,7.412
247,7.448
248,7.410
249,7.440
250,7.552
251,7.494
252,7.408
253,7.669
254,7.670
255,7.518
256,7.469
257,7.416
258,7.429
259,7.758
260,7.497
261,7.506
262,7.571
263,7.430
264,7.551
265,7.554
266,7.523
267,7.807
268,7.464
269,7.773
270,7.608
271,7.844
272,7.562
273,7.592
274,7.795
275,7.585
276,7.997
277,7.754
278,7.669
279,7.452
280,7.670
281,7.554
282,7.539
283,7.558
284,7.438
285,7.453
286,7.494
287,7.683
288,7.632
289,7.604
290,7.631
291,7.738
292,7.565
293,7.705
294,7.855
295,7.653
296,7.630
297,7.588
298,7.726
299,8.170
300,7.718
301,7.590
302,7.469
303,7.686
304,7.546
305,7.576
306,7.480
307,7.467
308,7.607
309,7.526
310,7.947
311,7.733
312,7.754
313,7.686
314,7.620
315,7.554
316,7.540
317,7.452
318,7.418
319,7.425
320,7.388
321,7.550
322,7.710
323,7.587
324,7.612
325,7.640
326,7.645
327,7.565
328,7.484
329,7.462
330,7.478
331,7.853
332,7.541
333,7.609
334,7.715
335,7.709
336,7.780
337,7.509
338,7.598
339,7.443
340,7.650
341,7.632
342,7.502
343,7.560
344,7.656
345,7.483
346,7.545
347,7.363
348,7.497
349,7.809
350,7.905
351,7.899
352,7.838
353,7.806
354,8.425
355,7.994
356,7.714
357,7.652
358,7.778
359,7.953
360,7.760
361,7.704
362,7.722
363,8.127
364,7.703
365,7.847
366,7.791
367,7.825
368,7.511
369,7.524
370,7.446
371,7.499
372,7.523
373,7.578
374,7.724
375,7.547
376,7.673
377,7.516
378,7.409
379,7.569
380,7.637
381,7.770
382,7.651
383,7.657
384,7.700
385,7.709
386,7.716
387,7.655
388,7.633
389,7.650
390,7.540
391,7.778
392,7.720
393,7.696
394,7.822
395,8.143
396,7.690
397,7.620
398,7.817
399,7.724
400,7.721
401,7.546
402,7.737
403,7.734
404,7.778
405,7.699
406,7.544
407,7.500
408,7.466
409,7.551
410,7.539
411,7.675
412,7.519
413,7.519
414,7.454
415,7.601
416,7.678
417,7.584
418,7.838
419,7.874
420,8.002
421,8.109
422,7.787
423,7.910
424,7.861
425,7.867
426,7.890
427,8.030
428,7.618
429,7.578
430,7.582
431,7.673
432,7.519
433,7.694
434,7.573
435,7.641
436,7.631
437,7.525
438,7.609
439,7.716
440,7.790
441,7.768
442,7.614
443,7.611
444,7.499
445,7.547
446,7.576
447,7.511
448,7.518
449,7.470
450,7.476
451,7.531
452,7.398
453,7.595
454,7.594
455,7.577
456,7.584
457,7.832
458,7.502
459,7.842
460,7.415
461,7.503
462,7.350
463,7.355
464,7.399
465,7.610
466,7.475
467,7.586
468,7.371
469,7.473
470,7.602
471,7.761
472,7.498
473,7.495
474,7.631
475,7.695
476,7.671
477,7.649
478,7.511
479,7.398
480,7.435
481,7.428
482,7.392
483,7.501
484,7.733
485,7.700
486,7.705
487,7.618
488,7.627
489,7.512
490,7.454
491,7.886
492,7.526
493,7.685
494,7.552
495,7.597
496,8.754
497,12.721
498,12.216
499,11.863
500,9.146
