iteration,time_ms
1,11.199
2,10.767
3,10.844
4,10.520
5,10.506
6,10.786
7,11.369
8,10.258
9,10.385
10,10.567
11,10.701
12,10.838
13,10.542
14,11.075
15,11.579
16,10.262
17,10.540
18,10.391
19,10.420
20,10.654
21,10.562
22,10.712
23,10.836
24,10.507
25,10.342
26,10.402
27,10.307
28,10.377
29,10.158
30,10.315
31,10.421
32,11.223
33,11.063
34,10.307
35,10.849
36,10.083
37,10.278
38,10.488
39,10.460
40,10.817
41,10.645
42,10.652
43,10.684
44,10.458
45,10.386
46,10.422
47,10.492
48,10.401
49,10.464
50,10.451
51,10.595
52,10.503
53,12.014
54,10.485
55,10.852
56,10.462
57,10.458
58,10.810
59,12.040
60,10.200
61,10.223
62,10.207
63,11.139
64,10.747
65,10.373
66,11.554
67,10.960
68,10.850
69,10.220
70,10.122
71,11.374
72,10.151
73,10.290
74,10.274
75,11.643
76,10.739
77,10.276
78,10.276
79,10.332
80,10.353
81,10.222
82,10.461
83,12.367
84,10.547
85,10.268
86,10.798
87,11.330
88,10.198
89,10.869
90,10.570
91,10.967
92,11.821
93,10.421
94,10.284
95,10.473
96,10.502
97,10.529
98,10.630
99,11.388
100,10.549
101,10.464
102,10.362
103,10.494
104,10.593
105,11.122
106,10.878
107,10.683
108,10.853
109,11.012
110,10.805
111,10.703
112,10.830
113,10.713
114,11.663
115,10.415
116,10.364
117,10.723
118,10.623
119,11.016
120,10.592
121,10.455
122,10.383
123,10.211
124,10.336
125,10.391
126,10.685
127,10.650
128,10.863
129,10.654
130,11.105
131,10.435
132,10.422
133,10.850
134,10.462
135,10.700
136,10.512
137,10.536
138,10.331
139,10.249
140,10.240
141,10.369
142,10.276
143,10.443
144,10.325
145,10.407
146,10.255
147,10.234
148,10.260
149,10.145
150,10.192
151,10.922
152,10.260
153,10.381
154,10.130
155,12.119
156,10.809
157,10.141
158,10.269
159,10.280
160,10.312
161,10.419
162,10.179
163,10.858
164,10.270
165,10.206
166,10.455
167,10.320
168,10.440
169,10.465
170,10.191
171,10.272
172,10.188
173,10.193
174,10.307
175,10.477
176,10.192
177,10.401
178,10.442
179,10.381
180,11.233
181,10.330
182,10.293
183,10.556
184,10.354
185,10.558
186,10.530
187,10.394
188,10.166
189,10.697
190,10.257
191,10.198
192,11.281
193,10.777
194,10.354
195,10.725
196,10.654
197,10.362
198,10.504
199,10.796
200,10.900
201,10.604
202,10.566
203,10.505
204,10.360
205,10.228
206,10.495
207,11.480
208,11.576
209,10.397
210,11.232
211,10.521
212,10.466
213,10.417
214,10.871
215,10.643
216,10.325
217,10.265
218,10.242
219,11.258
220,10.312
221,10.312
222,10.281
223,10.657
224,11.006
225,10.023
226,10.328
227,10.234
228,11.450
229,10.263
230,10.327
231,10.197
232,10.215
233,10.905
234,10.183
235,10.352
236,10.710
237,10.101
238,10.339
239,10.332
240,10.188
241,10.302
242,10.516
243,10.356
244,10.436
245,10.170
246,10.294
247,11.265
248,10.674
249,10.326
250,11.382
251,10.707
252,10.596
253,10.312
254,10.380
255,10.938
256,10.379
257,10.439
258,10.676
259,10.238
260,10.534
261,10.165
262,10.114
263,10.163
264,10.328
265,10.415
266,10.471
267,11.063
268,10.170
269,10.212
270,10.173
271,10.568
272,10.302
273,11.308
274,10.419
275,10.407
276,10.379
277,10.821
278,10.438
279,10.567
280,10.943
281,10.205
282,10.328
283,10.723
284,11.412
285,11.531
286,10.649
287,10.811
288,11.018
289,10.249
290,10.306
291,12.226
292,10.639
293,10.417
294,10.381
295,10.306
296,10.326
297,11.596
298,10.300
299,10.498
300,10.377
301,10.269
302,10.926
303,10.076
304,10.734
305,10.208
306,11.369
307,12.277
308,10.418
309,10.769
310,10.389
311,10.571
312,10.423
313,10.212
314,10.498
315,11.655
316,11.127
317,10.460
318,11.461
319,10.348
320,10.229
321,10.275
322,10.246
323,10.276
324,10.248
325,11.617
326,10.371
327,10.305
328,10.263
329,11.716
330,10.231
331,10.160
332,10.185
333,10.286
334,10.293
335,10.506
336,10.256
337,10.367
338,10.669
339,10.496
340,10.544
341,10.458
342,10.621
343,10.776
344,10.297
345,10.704
346,11.099
347,10.626
348,10.285
349,10.636
350,10.302
351,10.392
352,10.465
353,10.553
354,10.328
355,10.308
356,10.454
357,10.481
358,10.375
359,10.393
360,10.280
361,10.422
362,10.170
363,10.763
364,10.165
365,10.813
366,10.710
367,10.156
368,10.543
369,10.709
370,10.202
371,10.161
372,11.019
373,10.185
374,10.133
375,11.805
376,10.377
377,11.447
378,10.555
379,10.663
380,10.600
381,10.574
382,10.505
383,10.431
384,10.720
385,10.522
386,10.712
387,10.950
388,10.295
389,10.343
390,10.227
391,10.230
392,10.322
393,10.105
394,10.778
395,11.003
396,10.485
397,10.255
398,10.217
399,10.543
400,10.969
401,10.275
402,10.254
403,10.296
404,12.073
405,11.090
406,10.366
407,10.652
408,10.316
409,10.244
410,10.548
411,10.327
412,10.326
413,10.629
414,10.115
415,10.166
416,10.306
417,10.912
418,10.463
419,10.809
