iteration,time_ms
1,22.758
2,45.750
3,18.390
4,18.860
5,16.490
6,16.766
7,16.251
8,16.119
9,20.362
10,17.177
11,18.886
12,20.123
13,19.924
14,20.098
15,22.201
16,24.532
17,17.544
18,16.016
19,16.692
20,16.124
21,19.264
22,16.634
23,26.926
24,16.737
25,15.840
26,17.032
27,18.639
28,18.919
29,14.475
30,14.305
31,15.539
32,14.770
33,21.373
34,18.236
35,15.438
36,14.903
37,15.942
38,15.929
39,16.464
40,16.490
41,17.728
42,28.455
43,17.360
44,15.628
45,14.960
46,17.409
47,16.163
48,16.851
49,18.480
50,19.496
51,21.708
52,18.215
53,28.149
54,18.431
55,17.621
56,17.253
57,17.661
58,15.931
59,18.341
60,18.632
61,19.029
62,29.126
63,16.906
64,16.882
65,17.429
66,17.487
67,17.432
68,16.724
69,18.129
70,18.367
71,19.003
72,27.252
73,18.723
74,17.431
75,15.907
76,18.367
77,16.435
78,18.646
79,18.968
80,17.191
81,18.169
82,22.099
83,22.528
84,17.641
85,17.810
86,17.896
87,18.102
88,16.603
89,16.774
90,18.812
91,16.593
92,24.533
93,17.795
94,17.213
95,16.814
96,16.099
97,18.364
98,20.412
99,18.167
100,18.813
101,21.973
102,21.218
103,20.736
104,19.895
105,17.632
106,21.819
107,19.155
108,17.039
109,16.500
110,18.391
111,17.124
112,20.171
113,20.320
114,18.664
115,17.487
116,17.885
117,18.975
118,18.714
119,18.361
120,18.962
121,16.503
122,23.699
123,25.396
124,17.578
125,17.077
126,17.449
127,19.246
128,20.007
129,18.175
130,20.235
131,19.475
132,18.206
133,21.941
134,18.466
135,21.386
136,17.221
137,18.243
138,18.036
139,15.519
140,16.777
141,17.499
142,20.438
143,18.833
144,16.353
145,16.332
146,16.822
147,19.528
148,17.074
149,18.015
150,17.653
151,20.207
152,27.320
153,19.309
154,18.046
155,21.195
156,17.524
157,18.400
158,19.225
159,20.368
160,18.759
161,16.281
162,19.831
163,17.365
164,16.088
165,16.774
166,16.441
167,18.350
168,17.530
169,17.435
170,16.591
171,16.829
172,17.121
173,25.777
174,17.845
175,17.510
176,17.868
177,17.279
178,17.200
179,18.508
180,17.142
181,17.578
182,16.957
183,23.815
184,16.804
185,19.227
186,20.428
187,20.023
188,19.552
189,18.588
190,19.972
191,18.488
192,19.514
193,19.849
194,18.798
195,19.794
196,17.835
197,17.588
198,20.259
199,16.225
200,14.910
201,15.973
202,17.136
203,24.965
204,19.812
205,17.282
206,17.645
207,15.171
208,18.509
209,18.140
210,17.159
211,17.656
212,27.247
213,17.957
214,17.000
215,18.390
216,17.929
217,18.685
218,15.508
219,17.765
220,18.925
221,21.897
222,21.943
223,17.245
224,16.745
225,17.407
226,19.962
227,17.613
228,16.720
229,16.670
230,19.673
231,17.801
232,14.044
233,17.525
234,16.255
235,15.768
236,15.147
237,15.756
238,16.304
239,18.836
240,18.391
241,18.821
242,21.646
243,23.426
244,20.176
245,18.222
246,20.197
247,18.258
248,23.839
249,19.519
250,18.405
251,17.737
252,25.914
253,16.287
254,17.324
255,16.416
256,17.941
257,17.886
258,17.175
259,16.014
260,17.729
261,19.287
262,18.366
263,17.709
264,18.755
265,15.692
266,16.414
267,14.547
268,15.460
269,17.318
270,15.962
271,14.614
272,24.841
273,17.905
274,16.353
275,14.784
276,14.358
277,16.153
278,14.420
279,18.001
280,14.416
281,15.509
282,17.338
283,19.549
284,16.187
285,17.661
286,20.491
287,15.945
288,15.008
289,15.485
290,16.592
291,17.633
292,17.832
293,24.407
294,17.682
295,16.693
296,16.182
297,16.410
298,17.325
299,14.827
300,16.840
301,15.306
302,14.507
303,25.030
304,14.868
305,15.253
306,15.348
307,14.645
308,15.816
309,15.485
310,15.497
311,16.160
312,16.495
313,28.367
314,16.999
315,14.143
316,15.975
317,17.589
318,17.627
319,16.721
320,16.918
321,17.741
322,21.878
323,19.353
324,16.772
325,16.610
326,17.655
327,15.450
328,17.493
329,22.094
330,16.825
331,21.245
332,21.844
333,19.073
334,16.482
335,16.537
336,16.362
337,16.000
338,16.691
339,17.701
340,19.689
341,15.599
342,16.262
343,29.056
344,16.757
345,18.019
346,17.165
347,19.391
348,20.112
349,16.351
350,16.359
351,15.678
352,17.522
353,22.709
354,19.454
355,18.915
356,18.507
357,17.854
358,20.796
359,18.261
360,18.926
361,18.704
362,20.527
363,24.000
364,18.992
365,18.004
366,15.171
367,17.994
368,19.023
369,16.381
370,16.265
371,16.946
372,27.751
373,16.887
374,17.955
375,19.099
376,16.099
377,21.141
378,18.288
379,17.589
380,17.508
381,18.229
382,22.202
383,23.408
384,16.124
385,16.314
386,18.026
387,18.730
388,16.471
389,17.611
390,19.675
391,20.276
392,16.448
393,19.711
394,19.956
395,19.038
396,17.524
397,21.427
398,15.581
399,16.517
400,19.688
401,17.091
402,19.139
403,26.438
404,18.370
405,18.664
406,16.023
407,20.420
408,17.130
409,18.784
410,19.230
411,19.294
412,17.769
413,18.103
414,16.377
415,17.584
416,18.079
417,16.582
418,17.271
419,20.178
420,17.194
421,18.229
422,23.270
423,19.140
424,17.138
425,15.931
426,18.259
427,17.952
428,17.881
429,18.378
430,17.870
431,19.158
432,20.414
433,22.144
434,17.355
435,17.853
436,16.970
437,16.238
438,23.975
439,23.100
440,22.216
441,22.569
442,33.072
443,20.311
444,22.067
445,20.529
446,16.357
447,19.029
448,17.916
449,17.407
450,16.460
451,17.520
452,16.891
453,21.565
454,15.597
455,16.093
456,16.920
457,17.713
458,18.097
459,19.676
460,20.269
461,18.050
462,19.763
463,23.584
464,17.374
465,19.366
466,18.063
467,17.897
468,19.781
469,18.434
470,20.526
471,18.604
472,19.273
473,18.283
474,18.301
475,17.536
476,17.416
477,19.061
478,18.937
479,19.408
480,19.254
481,19.425
482,25.606
483,22.758
484,19.117
485,19.075
486,22.754
487,20.226
488,16.468
489,15.146
490,17.976
491,15.812
492,21.645
493,22.182
494,18.166
495,18.843
496,18.391
497,18.150
498,20.232
499,16.536
500,16.521
