iteration,time_ms
1,137.825
2,127.365
3,126.771
4,126.885
5,129.681
6,122.981
7,128.010
8,126.102
9,123.215
10,124.630
11,122.695
12,124.634
13,127.004
14,127.857
15,126.116
16,123.193
17,125.009
18,123.104
19,125.298
20,126.663
21,127.754
22,124.219
23,124.508
24,130.841
25,127.396
26,125.987
27,126.706
28,128.403
29,128.296
30,123.553
31,122.870
32,124.917
33,128.453
34,127.758
35,124.946
36,124.707
37,129.456
38,126.695
39,124.955
40,126.172
41,124.886
42,126.640
43,124.760
44,125.884
45,125.614
46,123.935
47,123.972
48,126.533
49,266.344
50,127.306
51,123.995
52,122.016
53,128.075
54,126.510
55,126.030
56,128.408
57,127.628
58,129.394
59,125.267
60,127.078
61,134.225
62,131.079
63,127.202
64,126.625
65,125.704
66,244.527
67,126.667
68,126.753
69,127.018
70,125.931
71,125.316
72,131.631
73,122.776
74,126.930
75,127.778
76,127.034
77,128.241
78,406.846
79,135.040
80,128.498
81,124.113
82,127.220
83,125.946
84,123.434
85,125.431
86,126.988
87,126.821
88,126.332
89,128.141
90,126.249
91,128.569
92,125.433
93,126.046
94,130.004
95,125.474
96,125.700
97,127.537
98,127.011
99,124.736
100,124.890
101,128.061
102,135.803
103,130.352
104,126.115
105,1132.555
106,127.237
107,126.508
108,129.619
109,127.487
110,124.694
111,126.508
112,126.767
113,127.047
114,125.770
115,123.130
116,124.797
117,128.140
118,128.349
119,126.456
120,127.988
121,133.069
122,128.534
123,126.521
124,127.899
125,130.895
126,128.902
127,127.875
128,125.877
129,126.523
130,130.588
131,124.256
132,129.593
133,129.604
134,125.456
135,128.594
136,124.922
137,124.373
138,126.782
139,126.839
140,129.045
141,133.120
142,123.563
143,126.524
144,124.427
145,125.670
146,128.562
147,130.065
148,130.287
149,124.355
150,131.552
151,129.968
152,126.642
153,128.405
154,125.768
155,129.184
156,125.721
157,128.534
158,126.101
159,126.295
160,125.804
161,125.425
162,123.836
163,131.063
164,127.367
165,127.528
166,127.922
167,126.393
168,129.408
169,128.190
170,125.002
171,126.241
172,125.735
173,128.000
174,127.710
175,126.175
176,123.063
177,128.365
178,127.807
179,126.429
180,126.086
181,124.078
182,126.397
183,128.427
184,125.421
185,129.622
186,405.073
187,127.116
188,129.224
189,127.598
190,129.691
191,126.426
192,126.452
193,131.352
194,125.127
195,128.858
196,124.400
197,128.635
198,124.859
199,132.329
200,129.123
201,123.852
202,129.600
203,128.996
204,128.699
205,127.847
206,125.177
207,129.924
208,129.955
209,126.947
210,127.667
211,125.754
212,123.444
213,125.300
214,126.110
215,127.645
216,126.788
217,128.036
218,127.987
219,126.173
220,124.454
221,126.722
222,123.716
223,125.744
224,124.577
225,127.340
226,124.739
227,130.813
228,125.508
229,129.165
230,124.022
231,132.442
232,127.280
233,126.830
234,125.134
235,128.807
236,126.837
237,128.095
238,125.379
239,130.389
240,129.052
241,131.608
242,129.778
243,126.099
244,128.345
245,126.730
246,128.364
247,129.211
248,126.601
249,127.141
250,127.491
251,129.062
252,128.987
253,126.766
254,125.404
255,127.375
256,129.501
257,125.120
258,127.264
259,126.823
260,128.823
261,128.232
262,126.593
263,126.831
264,128.495
265,127.603
266,127.891
267,124.681
268,127.310
269,126.414
270,126.879
271,124.737
272,131.609
273,125.390
274,125.143
275,126.479
276,131.861
277,131.596
278,125.406
279,130.990
280,127.299
281,127.294
282,132.288
283,127.703
284,128.951
285,127.270
286,449.025
287,130.150
288,130.789
289,127.745
290,125.182
291,124.521
292,127.392
293,127.484
294,125.986
295,126.311
296,128.426
297,125.178
298,127.113
299,124.289
300,127.291
301,126.697
302,129.816
303,129.276
304,127.218
305,127.972
306,125.902
307,128.758
308,130.529
309,124.318
310,127.339
311,127.563
312,129.235
313,128.245
314,129.278
315,125.432
316,128.889
317,129.116
318,129.686
319,126.676
320,125.655
321,124.647
322,127.365
323,128.518
324,128.582
325,125.201
326,126.160
327,127.277
328,125.507
329,127.946
330,126.203
331,127.418
332,128.092
333,130.109
334,129.727
335,125.529
336,125.800
337,128.236
338,128.634
339,125.535
340,130.979
341,126.975
342,128.605
343,126.718
344,127.953
345,130.151
346,125.388
347,130.218
348,126.176
349,129.427
350,128.373
351,134.795
352,126.618
353,129.913
354,126.424
355,128.670
356,126.246
357,128.261
358,128.425
359,127.003
360,127.388
361,125.731
362,125.979
363,129.947
364,126.161
365,130.260
366,127.219
367,125.068
368,127.901
369,128.891
370,127.690
371,125.463
372,128.353
373,127.447
374,123.084
375,127.103
376,126.051
377,127.458
378,127.791
379,127.235
380,125.748
381,125.061
382,128.825
383,127.764
384,127.428
385,128.011
386,126.736
387,129.056
388,128.817
389,127.099
390,127.151
391,123.659
392,127.188
393,127.250
394,127.295
395,127.398
396,124.957
397,129.576
398,128.944
399,129.523
400,126.922
401,125.664
402,129.438
403,127.602
404,129.565
405,127.185
406,124.210
407,126.345
408,126.569
409,128.046
410,128.663
411,124.588
