iteration,time_ms
1,13.315
2,25.478
3,15.282
4,12.976
5,11.146
6,11.582
7,11.586
8,14.758
9,12.033
10,12.586
11,14.493
12,12.757
13,16.165
14,11.709
15,11.001
16,11.112
17,10.177
18,11.913
19,12.078
20,11.721
21,12.095
22,12.210
23,15.085
24,11.273
25,10.803
26,10.081
27,11.064
28,10.191
29,9.826
30,10.481
31,10.915
32,9.939
33,14.873
34,13.215
35,10.966
36,10.942
37,16.727
38,16.633
39,11.247
40,10.154
41,10.548
42,9.954
43,19.725
44,12.326
45,12.195
46,10.963
47,11.463
48,10.375
49,10.844
50,21.042
51,11.565
52,11.625
53,15.292
54,12.353
55,13.889
56,11.964
57,10.346
58,10.318
59,10.232
60,10.642
61,10.363
62,10.201
63,15.466
64,16.377
65,10.928
66,11.559
67,11.742
68,10.624
69,9.682
70,9.564
71,10.385
72,9.639
73,17.392
74,19.405
75,13.597
76,11.381
77,10.619
78,9.631
79,10.666
80,10.419
81,9.363
82,11.132
83,15.005
84,11.019
85,10.832
86,10.284
87,10.191
88,10.724
89,9.435
90,9.576
91,9.757
92,10.284
93,12.744
94,14.085
95,11.575
96,10.762
97,12.138
98,10.093
99,10.315
100,10.244
