iteration,time_ms
1,39.361
2,22.647
3,24.003
4,20.844
5,19.353
6,16.556
7,18.115
8,19.626
9,21.627
10,18.322
11,20.598
12,17.958
13,18.276
14,27.975
15,16.883
16,17.053
17,20.486
18,25.032
19,15.406
20,18.713
21,18.567
22,22.197
23,19.500
24,16.566
25,15.283
26,14.592
27,16.647
28,17.169
29,13.847
30,17.702
31,17.688
32,21.218
33,19.984
34,20.746
35,19.364
36,19.062
37,17.745
38,18.930
39,17.081
40,16.276
41,29.504
42,23.736
43,16.087
44,17.541
45,16.242
46,19.788
47,17.724
48,16.063
49,17.537
50,16.750
51,19.986
52,19.019
53,23.899
54,20.332
55,17.104
56,21.795
57,15.608
58,15.087
59,15.894
60,17.015
61,16.030
62,20.526
63,23.363
64,16.601
65,19.348
66,17.424
67,23.188
68,17.018
69,16.610
70,17.804
71,16.685
72,19.974
73,24.303
74,15.944
75,16.633
76,15.042
77,15.052
78,15.793
79,15.983
80,16.813
81,15.884
82,15.595
83,18.285
84,18.163
85,14.940
86,15.622
87,16.602
88,14.966
89,15.628
90,15.503
91,15.233
92,16.273
93,20.402
94,16.259
95,17.050
96,20.707
97,16.755
98,23.405
99,25.350
100,23.236
