iteration,time_ms
1,24.323
2,22.029
3,20.489
4,19.479
5,18.482
6,18.937
7,21.439
8,19.244
9,17.640
10,20.855
11,20.190
12,22.748
13,18.887
14,19.512
15,19.064
16,18.716
17,19.210
18,19.824
19,18.479
20,21.172
21,20.368
22,20.715
23,26.998
24,20.244
25,17.307
26,34.475
27,20.539
28,18.666
29,20.294
30,19.481
31,19.336
32,23.646
33,20.808
34,20.315
35,21.111
36,20.862
37,18.534
38,20.706
39,18.401
40,19.098
41,19.576
42,23.873
43,23.723
44,19.774
45,17.899
46,20.537
47,18.237
48,16.946
49,21.559
50,16.547
51,21.959
52,26.872
53,20.293
54,19.416
55,16.153
56,18.441
57,20.736
58,21.560
59,18.676
60,16.408
61,20.904
62,32.059
63,19.990
64,19.072
65,19.514
66,19.313
67,21.604
68,19.930
69,18.741
70,20.502
71,18.652
72,21.406
73,24.241
74,17.875
75,19.472
76,19.615
77,20.800
78,18.135
79,17.905
80,19.845
81,18.559
82,21.784
83,20.265
84,20.162
85,19.168
86,19.690
87,18.767
88,20.172
89,18.731
90,24.276
91,18.174
92,19.028
93,19.814
94,16.623
95,17.202
96,18.149
97,16.912
98,20.440
99,20.847
100,17.617
101,17.922
102,19.283
103,19.260
104,21.482
105,19.525
106,19.023
107,20.803
108,20.975
109,16.884
110,20.624
111,17.746
112,21.462
113,23.846
114,17.648
115,16.907
116,17.155
117,16.320
118,18.288
119,19.228
120,19.543
121,18.139
122,19.491
123,18.077
124,19.988
125,20.465
126,20.895
127,20.259
128,24.470
129,19.550
130,18.109
131,19.879
132,24.387
133,17.482
134,15.244
135,16.503
136,15.889
137,19.075
138,18.692
139,16.844
140,16.957
141,18.115
142,19.765
143,25.595
144,17.269
145,19.794
146,19.211
147,18.845
148,16.119
149,18.462
150,20.625
151,19.874
152,21.069
153,25.205
154,26.372
155,17.612
156,16.362
157,17.033
158,19.181
159,21.212
160,19.625
161,21.384
162,28.163
163,19.043
164,19.537
165,17.730
166,19.713
167,19.691
168,18.791
169,17.250
170,20.800
171,19.228
172,25.952
173,19.061
174,17.816
175,18.164
176,19.364
177,20.606
178,24.438
179,23.083
180,21.291
181,18.430
182,32.013
183,20.454
184,20.296
185,20.073
186,20.402
187,21.017
188,21.187
189,20.324
190,18.793
191,17.418
192,25.246
193,20.001
194,16.526
195,17.002
196,22.309
197,20.283
198,18.032
199,19.139
200,19.257
201,20.765
202,30.830
203,31.196
204,19.322
205,21.819
206,17.626
207,22.145
208,18.729
209,19.356
210,18.667
211,19.640
212,23.037
213,21.780
214,19.988
215,18.755
216,17.011
217,15.993
218,17.879
219,17.670
220,19.305
221,18.286
222,32.737
223,17.875
224,19.684
225,20.191
226,22.555
227,19.070
228,23.770
229,16.830
230,19.573
231,20.545
232,16.857
233,30.961
234,18.895
235,17.930
236,20.574
237,19.104
238,19.340
239,34.408
240,17.132
241,21.305
242,31.855
243,18.353
244,21.314
245,19.150
246,17.419
247,18.520
248,17.897
249,19.596
250,22.405
251,18.347
252,23.614
253,18.315
254,18.863
255,19.228
256,20.819
257,21.001
258,20.025
259,20.542
260,19.816
261,19.059
262,20.282
263,21.174
264,18.745
265,17.515
266,15.741
267,14.685
268,16.777
269,17.891
270,19.602
271,18.126
272,23.077
273,18.640
274,16.306
275,20.166
276,18.701
277,18.676
278,39.548
279,19.631
280,19.329
281,17.262
282,22.631
283,17.927
284,15.944
285,16.659
286,16.222
287,16.413
288,18.719
289,15.828
290,16.514
291,16.576
292,27.805
293,17.715
294,18.358
295,16.748
296,21.227
297,21.873
298,18.761
299,21.851
300,20.438
301,17.809
302,22.436
303,22.004
304,25.311
305,18.581
306,19.912
307,19.088
308,20.497
309,21.382
310,22.798
311,17.599
312,31.727
313,20.610
314,19.007
315,16.902
316,18.929
317,18.061
318,19.910
319,19.759
320,18.995
321,19.485
322,19.932
323,19.214
324,21.263
325,19.935
326,18.030
327,19.407
328,25.535
329,17.155
330,15.775
331,18.281
332,23.966
333,22.654
334,19.573
335,20.043
336,19.034
337,21.371
338,19.892
339,19.603
340,21.024
341,20.050
342,20.724
343,20.196
344,18.725
345,20.401
346,17.637
347,18.134
348,18.378
349,17.015
350,17.865
351,18.180
352,22.258
353,25.551
354,19.682
355,18.925
356,21.314
357,20.264
358,19.359
359,20.708
360,21.394
361,19.612
362,19.022
363,23.621
364,21.113
365,19.977
366,20.791
367,21.335
368,19.722
369,20.133
370,18.464
371,16.788
372,25.291
373,21.088
374,18.288
375,17.995
376,19.261
377,21.485
378,23.644
379,18.648
380,19.935
381,18.702
382,16.469
383,24.539
384,18.722
385,17.459
386,20.188
387,20.480
388,17.201
389,22.016
390,16.545
391,18.477
392,29.854
393,19.689
394,20.601
395,20.638
396,20.468
397,19.842
398,16.530
399,19.142
400,20.528
401,19.210
402,20.636
403,27.922
404,18.594
405,17.658
406,15.649
407,16.425
408,16.727
409,16.757
410,18.198
411,17.702
412,27.856
413,19.879
414,16.935
415,19.191
416,20.681
417,20.334
418,19.114
419,21.473
420,18.667
421,17.127
422,23.897
423,26.616
424,18.849
425,20.565
426,21.240
427,17.764
428,20.687
429,19.926
430,21.898
431,16.410
432,20.751
433,18.798
434,20.499
435,18.565
436,18.362
437,17.232
438,16.302
439,19.441
440,22.273
441,16.766
442,29.627
443,24.383
444,23.737
445,20.705
446,19.117
447,22.205
448,24.921
449,19.425
450,16.895
451,22.173
452,30.073
453,20.355
454,18.820
455,18.903
456,19.181
457,18.835
458,20.049
459,19.621
460,17.076
461,19.601
462,18.803
463,19.886
464,16.612
465,18.822
466,16.372
467,17.603
468,18.989
469,19.330
470,17.026
471,17.804
472,17.489
473,26.322
474,18.526
475,17.398
476,19.436
477,17.143
478,20.010
479,19.547
480,17.341
481,16.155
482,24.359
483,21.198
484,17.967
485,21.639
486,17.863
487,18.314
488,23.780
489,18.358
490,21.441
491,19.348
492,24.281
493,22.310
494,18.453
495,18.690
496,19.959
497,19.097
498,20.323
499,18.605
500,18.561
