iteration,time_ms
1,126.027
2,126.833
3,126.503
4,125.921
5,124.686
6,126.825
7,129.541
8,124.989
9,127.042
10,127.392
11,123.197
12,122.844
13,124.410
14,131.916
15,134.346
16,132.420
17,121.988
18,126.963
19,124.705
20,131.377
21,129.273
22,1148.152
23,139.382
24,150.521
25,129.532
26,125.729
27,125.990
28,124.646
29,130.894
30,141.639
31,150.079
32,147.043
33,137.446
34,125.771
35,125.173
36,122.860
37,129.514
38,125.268
39,123.753
40,122.762
41,125.532
42,121.662
43,124.768
44,124.612
45,123.688
46,123.881
47,123.433
48,123.744
49,124.391
50,124.459
51,124.002
52,124.997
53,125.873
54,124.292
55,127.714
56,125.723
57,121.679
58,124.893
59,128.577
60,124.398
61,128.216
62,124.505
63,124.913
64,122.451
65,123.093
66,123.880
67,124.634
68,127.004
69,126.006
70,127.510
71,122.362
72,125.295
73,1135.531
74,124.389
75,124.860
76,135.252
77,125.244
78,122.563
79,125.302
80,124.412
81,132.191
82,126.874
83,129.317
84,124.062
85,123.556
86,123.869
87,123.126
88,124.980
89,121.610
90,129.404
91,123.408
92,126.817
93,124.788
94,126.603
95,127.652
96,129.300
97,128.678
98,128.094
99,122.947
100,125.357
101,123.356
102,126.965
103,125.546
104,126.722
105,124.972
106,124.076
107,127.283
108,123.565
109,123.232
110,125.377
111,124.132
112,128.501
113,125.975
114,125.988
115,127.552
116,129.187
117,130.733
118,129.232
119,127.260
120,130.295
121,128.710
122,127.474
123,125.830
124,126.692
125,129.018
126,126.378
127,125.471
128,124.099
129,127.421
130,124.239
131,127.078
132,126.615
133,124.889
134,127.926
135,130.234
136,127.737
137,128.181
138,124.309
139,121.744
140,125.572
141,125.974
142,123.365
143,130.050
144,129.318
145,128.735
146,124.360
147,127.155
148,124.181
149,126.307
150,130.107
151,124.356
152,128.340
153,125.209
154,132.373
155,150.178
156,126.683
157,132.532
158,128.721
159,124.823
160,126.111
161,123.745
162,122.370
163,122.303
164,126.762
165,128.999
166,364.913
167,126.415
168,128.744
169,126.122
170,128.290
171,125.293
172,127.879
173,126.597
174,130.311
175,127.193
176,125.836
177,125.463
178,124.301
179,126.026
180,128.249
181,129.226
182,128.552
