iteration,time_ms
1,22.247
2,36.664
3,23.019
4,18.623
5,19.341
6,16.428
7,17.196
8,20.694
9,17.642
10,20.404
11,15.907
12,25.169
13,23.383
14,19.416
15,20.957
16,18.150
17,20.800
18,19.001
19,19.296
20,19.844
21,16.190
22,20.959
23,20.871
24,17.039
25,20.856
26,21.026
27,25.564
28,20.772
29,19.595
30,19.025
31,18.243
32,20.761
33,19.289
34,18.122
35,15.717
36,17.078
37,16.393
38,15.399
39,15.358
40,17.174
41,16.208
42,19.953
43,27.445
44,16.755
45,17.152
46,14.965
47,15.656
48,16.263
49,15.773
50,16.348
51,16.030
52,20.705
53,26.447
54,25.104
55,18.231
56,15.403
57,18.115
58,16.437
59,16.085
60,18.678
61,18.393
62,19.709
63,17.528
64,16.405
65,16.556
66,16.984
67,17.940
68,17.113
69,18.975
70,17.911
71,20.184
72,28.033
73,19.883
74,19.850
75,21.753
76,19.540
77,18.196
78,20.492
79,21.702
80,27.098
81,20.427
82,23.690
83,30.353
84,19.959
85,19.606
86,17.180
87,19.673
88,18.135
89,19.307
90,18.820
91,20.734
92,25.627
93,18.878
94,19.501
95,21.074
96,18.575
97,21.331
98,21.629
99,19.000
100,19.125
101,16.680
102,20.828
103,23.375
104,24.111
105,22.504
106,18.316
107,18.625
108,16.840
109,18.588
110,19.707
111,16.736
112,22.410
113,19.684
114,18.993
115,19.683
116,22.438
117,18.530
118,19.786
119,21.928
120,21.365
121,19.313
122,25.851
123,24.522
124,21.277
125,18.022
126,17.092
127,15.770
128,17.272
129,24.522
130,19.369
131,18.926
132,20.240
133,22.819
134,19.657
135,22.743
136,19.131
137,20.151
138,18.509
139,20.337
140,20.052
141,24.595
142,28.458
143,18.258
144,15.535
145,17.615
146,18.765
147,18.638
148,18.527
149,19.147
150,15.931
151,15.546
152,23.180
153,22.706
154,20.423
155,21.835
156,16.943
157,17.482
158,18.136
159,18.760
160,17.798
161,20.015
162,22.252
163,19.922
164,17.628
165,17.566
166,18.678
167,16.676
168,20.176
169,18.596
170,20.853
171,16.808
172,20.585
173,27.823
174,16.919
175,14.936
176,17.276
177,18.510
178,14.951
179,17.596
180,16.689
181,16.426
182,30.269
183,18.995
184,16.783
185,17.499
186,29.257
187,19.788
188,21.106
189,19.596
190,20.733
191,17.687
192,21.935
193,23.172
194,19.728
195,20.248
196,17.868
197,16.927
198,18.550
199,19.057
200,19.405
201,19.543
202,19.953
203,21.055
204,16.382
205,16.440
206,19.288
207,19.561
208,17.089
209,16.772
210,16.121
211,17.501
212,23.136
213,20.366
214,17.693
215,18.122
216,18.747
217,16.514
218,18.152
219,18.508
220,17.806
221,18.008
222,26.317
223,18.129
224,18.384
