iteration,time_ms
1,134.437
2,124.245
3,126.440
4,126.334
5,123.704
6,123.181
7,122.631
8,123.425
9,126.235
10,125.029
11,123.268
12,127.477
13,125.833
14,124.783
15,126.144
16,128.974
17,125.669
18,126.799
19,122.962
20,125.136
21,127.990
22,126.534
23,129.266
24,124.350
25,129.356
26,127.063
27,122.594
28,124.197
29,125.185
30,124.086
31,124.765
32,127.298
33,125.599
34,126.180
35,176.230
36,122.990
37,126.239
38,121.746
39,126.794
40,129.174
41,125.679
42,124.476
43,125.289
44,123.107
45,127.367
46,126.470
47,127.175
48,121.688
49,361.690
50,121.109
51,124.871
52,124.289
53,127.387
54,123.260
55,121.937
56,125.059
57,122.163
58,121.797
59,122.147
60,123.061
61,126.088
62,124.155
63,125.510
64,126.058
65,124.555
66,123.144
67,127.684
68,122.804
69,120.078
70,120.795
71,122.610
72,124.289
73,122.533
74,128.314
75,125.735
76,127.433
77,128.132
78,124.508
79,124.289
80,126.994
81,122.219
82,128.506
83,126.194
84,126.529
85,124.777
86,125.422
87,123.879
88,122.734
89,122.630
90,125.599
91,128.856
92,125.288
93,124.073
94,126.542
95,125.403
96,125.735
97,125.304
98,130.206
99,124.236
100,126.305
101,125.183
102,123.333
103,127.603
104,126.000
105,127.766
106,125.579
107,123.202
108,123.247
109,126.789
110,129.312
111,129.167
112,123.304
113,126.533
114,126.217
115,126.905
116,130.832
117,124.511
118,131.499
119,122.601
120,127.954
121,124.304
122,128.795
123,126.592
124,123.044
125,122.922
126,128.396
127,126.721
128,122.557
129,123.173
130,127.297
131,122.826
132,126.993
133,126.114
134,124.270
135,123.730
136,126.787
137,126.562
138,120.716
139,123.562
140,125.016
141,122.470
142,124.959
143,123.016
144,129.038
145,126.078
146,124.243
147,124.466
148,127.070
149,127.319
150,122.055
151,121.983
152,127.636
153,126.132
154,131.126
155,125.416
156,125.797
157,125.061
158,126.861
159,124.220
160,128.386
161,126.329
162,128.957
163,126.980
164,123.136
165,122.381
166,122.305
167,127.625
168,406.520
169,124.751
170,126.961
171,124.856
172,125.749
173,125.454
174,127.876
175,124.492
176,124.149
177,121.729
178,124.123
179,123.490
180,122.314
181,122.568
182,123.040
183,123.723
184,123.315
185,122.600
186,123.482
187,125.996
188,122.282
189,124.241
190,122.094
191,121.273
192,125.898
193,125.257
194,123.413
195,124.261
196,121.182
197,121.777
198,122.749
199,124.595
200,124.883
201,119.758
202,122.799
203,120.690
204,123.195
205,142.361
206,122.468
207,126.507
208,125.810
209,122.892
210,123.901
211,126.139
212,123.961
213,122.509
214,120.630
215,123.008
216,123.190
217,122.998
218,123.018
219,123.204
220,123.440
221,124.618
222,124.633
223,126.294
224,125.868
225,124.910
226,122.982
227,125.175
228,124.690
229,120.952
230,124.161
231,126.402
232,127.655
233,121.398
234,122.353
235,122.716
236,122.110
237,123.907
238,127.068
239,124.887
240,124.134
241,125.696
242,122.777
243,124.660
244,125.798
245,122.542
246,123.529
247,122.298
248,122.388
249,123.431
250,124.027
251,122.033
252,126.982
253,122.077
254,124.664
255,125.664
256,128.721
257,126.143
258,127.533
259,125.492
260,122.532
261,123.568
262,123.080
263,122.507
264,123.271
265,125.748
266,122.360
267,125.772
268,123.802
269,123.534
270,124.594
271,121.669
272,122.202
273,124.822
274,121.700
275,123.476
276,122.655
277,124.263
278,124.424
279,124.361
280,123.334
281,123.250
282,125.074
283,124.977
284,124.640
285,123.252
286,123.677
287,127.563
288,125.518
289,124.300
290,122.498
291,122.063
292,121.888
293,126.103
294,124.824
295,125.493
296,127.154
297,122.881
298,126.135
299,129.784
300,123.846
301,123.916
302,123.898
303,123.985
304,122.943
305,126.220
306,127.033
307,125.625
308,124.961
309,126.954
310,125.359
311,123.145
312,126.899
313,128.425
